,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Victoria,HK,89.33,broken clouds,22.2855,114.1577,Mini Hotel Central
15,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Oktyabrskoye,RU,78.94,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
19,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
27,Artyom,AZ,75.34,scattered clouds,40.4723,50.333,Merdan Respect
29,Grand Gaube,MU,81.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
37,Mahebourg,MU,81.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
40,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
43,Dingle,PH,80.42,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
48,Calatayud,ES,81.64,overcast clouds,41.3535,-1.6432,Hotel Monasterio Benedictino
52,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
54,Inhambane,MZ,80.58,few clouds,-23.865,35.3833,Oceano
55,Kalangala,UG,75.04,broken clouds,-0.3089,32.225,Ssese Habitat Resort
60,Bonthe,SL,84.9,light rain,7.5264,-12.505,Bonthe Holiday Village
61,Korla,CN,89.94,clear sky,41.7597,86.1469,Gulisitan Hotel
63,Matiguas,NI,79.54,overcast clouds,12.8373,-85.4622,Hotel Bethel
65,Carutapera,BR,82.08,clear sky,-1.195,-46.02,Lidera
66,Namibe,AO,84.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
67,Cayenne,GF,80.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
68,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
71,Dennery,LC,82.4,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
76,Feijo,BR,77.74,scattered clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
79,The Valley,AI,83.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
81,Bubaque,GW,77.86,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
82,Thinadhoo,MV,84.9,scattered clouds,0.5333,72.9333,
83,Kashi,CN,88.81,few clouds,39.4547,75.9797,帕米尔青年旅舍
84,Caravelas,BR,81.9,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
86,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
87,Luanda,AO,82.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
90,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
94,Hithadhoo,MV,82.81,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Itacoatiara,BR,81.07,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
99,Cockburn Town,TC,78.42,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
101,Erzurum,TR,78.8,broken clouds,40.0,41.5,
117,Abonnema,NG,87.8,light rain,4.7084,6.7931,Corper's Lodge Obonoma
118,Dangriga,BZ,82.0,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
119,Rincon,US,78.85,few clouds,32.296,-81.2354,Days Inn Rincon
120,Arraias,BR,83.12,clear sky,-12.9288,-46.9437,Hotel Japão
122,Axim,GH,85.05,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
126,Zabol,AF,84.63,clear sky,32.25,67.25,
127,Puri,IN,88.32,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
128,Cap Malheureux,MU,81.0,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
130,Souillac,MU,81.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
132,Marivan,IR,87.89,clear sky,35.5219,46.176,Miran Hotel
134,Faya,SA,86.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
138,Parrita,CR,82.17,broken clouds,9.5201,-84.3225,Beso del Viento
139,Ios,GR,76.91,scattered clouds,36.7333,25.2833,Ios Palace Hotel & Spa
140,Massaranduba,BR,76.59,broken clouds,-7.2003,-35.7892,
142,Shkoder,AL,77.18,clear sky,42.0683,19.5126,Hotel Tradita
146,Gamba,GA,82.09,overcast clouds,-2.65,10.0,
147,Culfa,AZ,87.8,overcast clouds,38.9558,45.6308,Hotel Araz
149,Beja,TN,86.0,broken clouds,36.7256,9.1817,باجة العتيقة Beja El Medina
152,Quatre Cocos,MU,81.09,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
154,Sao Felix Do Xingu,BR,82.36,few clouds,-6.6447,-51.995,Rio Xingu Camping
155,Sao Sebastiao,BR,78.22,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
156,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
158,Iaciara,BR,85.86,clear sky,-14.0958,-46.6317,Hotel Matinha
162,Tabou,CI,84.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
163,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
164,Sao Francisco,BR,85.86,scattered clouds,-15.9486,-44.8644,Hotel Supremo
166,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
172,Bonfim,BR,77.83,overcast clouds,3.0833,-59.95,
173,Matara,LK,80.37,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
174,Moa,CU,80.69,overcast clouds,20.6569,-74.9403,Carmen
175,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
176,Mwingi,KE,79.36,scattered clouds,-0.9344,38.0601,Thorn Tree by The Address
178,Corn Island,NI,81.1,overcast clouds,12.1694,-83.0418,Big Fish Guest House
179,Dwarka,IN,84.92,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
180,Syracuse,IT,86.05,clear sky,37.0881,15.2792,Hotel Posta
183,Kudahuvadhoo,MV,83.21,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
188,Gat,IL,86.0,clear sky,31.61,34.7642,OlusHome
192,Nevesinje,BA,75.2,few clouds,43.2586,18.1133,Prenoćište Nevesinje
193,Jutai,BR,82.53,overcast clouds,-5.1833,-68.9,
194,Salalah,OM,89.6,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
196,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
197,Keffi,NG,88.18,scattered clouds,8.8486,7.8736,Imam Family
198,Bengkulu,ID,77.94,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
204,Mahibadhoo,MV,83.91,overcast clouds,3.7833,72.9667,Omadhoo Inn
205,Caconda,AO,76.71,clear sky,-13.7333,15.0667,
208,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
210,Port Blair,IN,82.56,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
213,Bandarbeyla,SO,83.07,broken clouds,9.4942,50.8122,JABIR HOTEL
215,Puerto Colombia,CO,78.8,broken clouds,10.9878,-74.9547,Hotel El Emigrante
217,Changji,CN,79.59,light rain,44.0167,87.3167,Lvye Holiday Resort
221,Gardabani,GE,77.09,light rain,41.4605,45.0928,Namig gurbanov
222,Bluefields,NI,80.6,scattered clouds,12.0137,-83.7635,Flamingo Hotel and Casino
223,Bumba,CD,88.84,overcast clouds,2.1833,22.4667,Hôtel Cape Town
224,Nosy Varika,MG,75.15,clear sky,-20.5833,48.5333,Hotel Volazara
228,Dhidhdhoo,MV,83.61,broken clouds,6.8833,73.1,Dhidhoo beach
229,Point Pedro,LK,84.02,few clouds,9.8167,80.2333,Gtr homes
230,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
234,San Felipe,VE,78.33,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
239,Pachino,IT,86.04,clear sky,36.7186,15.0907,Pietra Bianca B&B
242,Punta Umbria,ES,76.12,scattered clouds,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
243,Grand-Lahou,CI,86.43,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
244,Gambela,ET,89.4,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
246,Camabatela,AO,84.27,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
250,Karaton,ID,84.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
252,Barcelos,PT,80.28,few clouds,41.5388,-8.6151,Hotel Do Terço
253,Meulaboh,ID,78.21,overcast clouds,4.1363,96.1285,Kost Pria
256,Odweyne,SO,82.17,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
263,Alenquer,BR,82.74,few clouds,-1.9417,-54.7383,Josilene Castro
264,Riachao,BR,82.9,overcast clouds,-7.3619,-46.6172,Pousada Nordestina
266,Diamantino,BR,81.5,overcast clouds,-14.4086,-56.4461,Hotel Delta
271,Quelimane,MZ,80.6,broken clouds,-17.8786,36.8883,Hotel Flamingo
272,Lucea,JM,81.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
277,Iberia,US,75.0,mist,29.9502,-91.7507,back to back rv park
278,Mananjary,MG,75.0,clear sky,-21.2167,48.3333,Vahiny Lodge
284,Kisangani,CD,88.16,broken clouds,0.5167,25.2,Grand Ramela Hotel
286,Le Port,RE,78.8,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
288,Vangaindrano,MG,75.0,clear sky,-23.35,47.6,Hotel Fanilo
289,Sokoni,TZ,84.06,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
290,Morondava,MG,78.1,clear sky,-20.2833,44.2833,La Case Bambou
291,Qurbus,TN,77.0,few clouds,36.8167,10.5687,اقامةالمياه المعدنية
293,Ormara,PK,86.25,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
294,Kasungu,MW,77.04,clear sky,-13.0333,33.4833,Mame Motel
295,Porto Walter,BR,78.03,clear sky,-8.2686,-72.7439,Secretaria de saúde
299,Bereda,ES,77.41,scattered clouds,43.2686,-7.5406,Pazo de Verdes
302,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
304,Semnan,IR,87.67,clear sky,35.5729,53.3971,Semnan Tourist Hotel
305,Oltu,TR,79.57,broken clouds,40.5498,42.0013,Oltu Öğretmenevi
307,Fershampenuaz,RU,76.03,clear sky,53.5202,59.8117,Zavod' Na Gumbeyke
309,Itarema,BR,83.98,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
313,Ciudad Bolivar,VE,80.35,overcast clouds,8.1222,-63.5497,Hotel Edi
316,Kavaratti,IN,83.91,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
321,Cururupu,BR,88.79,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
322,Mato Verde,BR,84.36,scattered clouds,-15.3972,-42.8664,Quality Hotel
327,Fuerte Olimpo,PY,82.8,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
328,Colombia,CU,75.92,clear sky,20.9881,-77.4297,Casa Lazara y Pupi
332,Harper,LR,85.21,light rain,4.375,-7.7169,Screensaver
333,Grand-Santi,GF,78.01,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
337,Clearwater,US,82.06,clear sky,27.9659,-82.8001,Shephard's Beach Resort
338,Ambilobe,MG,82.47,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
343,Soyo,AO,86.05,broken clouds,-6.1349,12.3689,Hotel Mpampa
344,Ngora,UG,82.76,overcast clouds,1.4314,33.7772,Traveler's rest guest house
346,Omboue,GA,82.58,overcast clouds,-1.5746,9.2618,Hotel Olako
350,Ilhabela,BR,76.21,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
352,Marrakesh,MA,82.47,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
353,Okrika,NG,88.12,light rain,4.7416,7.0849,ayo mutiaru f
355,Benghazi,LY,78.13,few clouds,32.1167,20.0667,Tibesti Hotel
358,Verkhniy Mamon,RU,78.8,scattered clouds,50.1635,40.3832,Yaroton
359,Luau,AO,83.34,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
360,Bin Qirdan,TN,81.21,clear sky,33.1378,11.2197,Hôtel Palace
361,Mali,GN,78.12,overcast clouds,12.079,-12.2982,Hotel La Dame de Mali
363,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
364,Latnaya,RU,80.49,overcast clouds,51.6586,38.9011,Angel Inn
368,Giyon,ET,78.62,overcast clouds,8.5333,37.9833,Negash Lodge
370,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
371,Shirgaon,IN,87.82,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
375,Maroantsetra,MG,76.37,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
376,Mayumba,GA,81.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
380,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
384,Soverato,IT,78.71,overcast clouds,38.685,16.5499,Hotel San Domenico
386,Melito Di Porto Salvo,IT,76.89,few clouds,37.9222,15.7714,B&B Nereidi
389,Antalaha,MG,78.91,light rain,-14.9003,50.2788,Hotel Vitasoa
390,Cabimas,VE,81.54,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
393,Buritama,BR,83.35,scattered clouds,-21.0661,-50.1472,Rancho Do Presidente - Buritama - SP
394,Beira,MZ,82.4,few clouds,-19.8436,34.8389,Beira Terrace Hotel
398,Sao Jose Da Coroa Grande,BR,81.32,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
400,Iki-Burul,RU,86.34,broken clouds,45.8208,44.6472,
407,Buchanan,LR,89.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
408,Maragogi,BR,81.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
409,Riachao Das Neves,BR,81.55,clear sky,-11.7461,-44.91,Casa Costa
414,Areia Branca,BR,86.2,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
416,Beruwala,LK,81.14,overcast clouds,6.4788,79.9828,The Palms Hotel
424,Hambantota,LK,87.8,broken clouds,6.1241,81.1185,Bungalow 63
426,Santa Marta,CO,83.98,overcast clouds,11.2408,-74.199,Casa de Isabella
428,Isabela,PH,80.65,broken clouds,6.7085,121.9711,Isawad Resort
432,Gilgit,PK,82.33,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
