,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,28.06,100,75,24.16,light snow
1,Selu,IN,19.4667,76.4667,95.13,34,100,14.79,moderate rain
2,Longyearbyen,SJ,78.2186,15.6401,30.04,64,40,5.75,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,71.01,48,64,20.85,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,68.81,77,16,22.1,few clouds
5,Ville-Marie,CA,47.3335,-79.433,35.6,38,80,4.5,broken clouds
6,Upernavik,GL,72.7868,-56.1549,35.73,87,74,3.71,broken clouds
7,Cristalina,BR,-16.7686,-47.6136,73.62,52,52,5.99,broken clouds
8,Pangnirtung,CA,66.1451,-65.7125,32.0,80,90,9.22,overcast clouds
9,Peterhead,GB,57.5058,-1.7981,56.12,86,5,8.66,clear sky
10,Ribe,DK,55.3305,8.7697,57.51,78,97,13.8,overcast clouds
11,Jamestown,US,42.097,-79.2353,48.0,81,90,8.05,light rain
12,Luderitz,NA,-26.6481,15.1594,69.42,49,10,15.17,clear sky
13,Victoria,HK,22.2855,114.1577,89.33,85,63,5.99,broken clouds
14,Clyde River,CA,70.4692,-68.5914,30.43,74,1,4.61,clear sky
15,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,40,5.01,scattered clouds
16,Oktyabrskoye,RU,43.0645,44.7417,78.94,39,40,6.89,scattered clouds
17,Dikson,RU,73.5069,80.5464,30.79,84,71,4.99,broken clouds
18,Huarmey,PE,-10.0681,-78.1522,65.89,94,45,6.26,scattered clouds
19,Nouakchott,MR,18.0858,-15.9785,78.73,58,41,14.05,scattered clouds
20,Cape Town,ZA,-33.9258,18.4232,65.12,86,75,5.01,light rain
21,Yarada,IN,17.65,83.2667,93.2,59,20,6.91,haze
22,Bredasdorp,ZA,-34.5322,20.0403,70.92,49,1,18.99,clear sky
23,Saint Anthony,US,45.0205,-93.218,40.75,87,1,1.01,clear sky
24,Najran,SA,17.4924,44.1277,101.05,9,55,18.12,broken clouds
25,Matagami,CA,49.7502,-77.6328,35.71,64,1,7.76,clear sky
26,Ahlat,TR,38.7518,42.4814,74.01,27,10,19.08,clear sky
27,Artyom,AZ,40.4723,50.333,75.34,66,35,18.39,scattered clouds
28,Los Llanos De Aridane,ES,28.6585,-17.9182,73.4,56,20,8.05,few clouds
29,Grand Gaube,MU,-20.0064,57.6608,81.37,67,23,1.99,light rain
30,Busselton,AU,-33.65,115.3333,63.05,87,97,16.28,light rain
31,Vardo,NO,70.3705,31.1107,41.2,81,75,13.8,light rain
32,Lebu,CL,-37.6167,-73.65,53.6,86,100,9.8,overcast clouds
33,Castro,BR,-24.7911,-50.0119,65.16,75,99,6.11,overcast clouds
34,Bathsheba,BB,13.2167,-59.5167,84.81,51,20,15.73,few clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,61.09,68,0,11.01,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,35.62,86,0,17.6,clear sky
37,Mahebourg,MU,-20.4081,57.7,81.25,73,20,4.61,few clouds
38,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,52,40,24.16,scattered clouds
39,Georgetown,MY,5.4112,100.3354,86.0,84,20,6.91,few clouds
40,Bambous Virieux,MU,-20.3428,57.7575,81.0,73,20,4.61,light rain
41,Nalgonda,IN,17.05,79.2667,98.4,30,72,10.74,broken clouds
42,Nuuk,GL,64.1835,-51.7216,34.41,93,75,10.36,broken clouds
43,Dingle,PH,10.9995,122.6711,80.42,84,73,1.95,moderate rain
44,Paamiut,GL,61.994,-49.6678,43.32,63,82,3.98,broken clouds
45,Husavik,IS,66.0449,-17.3389,60.71,52,8,12.35,clear sky
46,East London,ZA,-33.0153,27.9116,72.54,49,0,13.8,clear sky
47,Qaanaaq,GL,77.484,-69.3632,40.1,84,94,6.76,overcast clouds
48,Calatayud,ES,41.3535,-1.6432,81.64,35,100,10.69,overcast clouds
49,Ballina,AU,-28.8667,153.5667,57.16,66,17,11.5,few clouds
50,Chuy,UY,-33.6971,-53.4616,60.75,70,29,8.99,scattered clouds
51,Sorland,NO,67.667,12.6934,46.47,77,16,8.14,few clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,20,14.97,few clouds
53,Belmonte,BR,-15.8631,-38.8828,79.3,64,6,4.63,clear sky
54,Inhambane,MZ,-23.865,35.3833,80.58,44,20,13.8,few clouds
55,Kalangala,UG,-0.3089,32.225,75.04,61,57,9.17,broken clouds
56,Seydi,TM,39.4816,62.9137,102.45,10,74,17.81,broken clouds
57,Cidreira,BR,-30.1811,-50.2056,66.25,75,100,8.48,overcast clouds
58,Dosso,NE,13.049,3.1937,106.25,13,97,8.21,overcast clouds
59,Yar-Sale,RU,66.8333,70.8333,45.54,35,43,7.16,scattered clouds
60,Bonthe,SL,7.5264,-12.505,84.9,69,100,9.08,light rain
61,Korla,CN,41.7597,86.1469,89.94,10,2,10.54,clear sky
62,Tasiilaq,GL,65.6145,-37.6368,44.76,78,100,27.76,light rain
63,Matiguas,NI,12.8373,-85.4622,79.54,84,99,4.94,overcast clouds
64,Ponta Delgada,PT,37.7333,-25.6667,66.92,59,40,8.05,scattered clouds
65,Carutapera,BR,-1.195,-46.02,82.08,80,5,3.36,clear sky
66,Namibe,AO,-15.1961,12.1522,84.83,54,0,16.11,clear sky
67,Cayenne,GF,4.9333,-52.3333,80.1,87,90,1.01,overcast clouds
68,Cabedelo,BR,-6.9811,-34.8339,81.27,77,80,14.61,broken clouds
69,Sao Filipe,CV,14.8961,-24.4956,73.92,76,1,15.37,clear sky
70,Codrington,AU,-38.2667,141.9667,46.49,74,4,4.47,clear sky
71,Dennery,LC,13.8996,-60.8879,82.4,69,40,12.66,scattered clouds
72,Ilebo,CD,-4.3167,20.5833,94.32,28,98,2.71,overcast clouds
73,Moose Factory,CA,51.2585,-80.6094,35.6,69,1,8.05,clear sky
74,Keetmanshoop,NA,-26.5833,18.1333,73.4,17,0,8.05,clear sky
75,Kangaatsiaq,GL,68.3065,-53.4641,33.96,92,91,4.85,overcast clouds
76,Feijo,BR,-8.1642,-70.3536,77.74,74,48,1.3,scattered clouds
77,Sabha,LY,27.0377,14.4283,104.63,7,41,8.21,scattered clouds
78,Comodoro Rivadavia,AR,-45.8667,-67.5,35.6,51,20,12.66,few clouds
79,The Valley,AI,18.217,-63.0578,83.1,78,75,9.22,broken clouds
80,Antofagasta,CL,-23.65,-70.4,58.28,79,59,2.55,broken clouds
81,Bubaque,GW,11.2833,-15.8333,77.86,74,17,3.51,few clouds
82,Thinadhoo,MV,0.5333,72.9333,84.9,72,26,19.04,scattered clouds
83,Kashi,CN,39.4547,75.9797,88.81,11,20,14.85,few clouds
84,Caravelas,BR,-17.7125,-39.2481,81.9,61,17,4.45,few clouds
85,Constitucion,CL,-35.3333,-72.4167,52.97,80,41,3.62,scattered clouds
86,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,4.61,broken clouds
87,Luanda,AO,-8.8368,13.2343,82.4,69,0,8.05,clear sky
88,Coquimbo,CL,-29.9533,-71.3436,55.13,100,75,5.41,broken clouds
89,Ayna,PE,-12.65,-73.9167,59.5,53,28,2.17,scattered clouds
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,79,2,8.77,clear sky
91,Ribeira Grande,PT,38.5167,-28.7,64.8,68,20,10.36,few clouds
92,Kruisfontein,ZA,-34.0033,24.7314,72.88,47,0,21.97,clear sky
93,Jalu,LY,29.0331,21.5482,100.87,11,0,5.19,clear sky
94,Hithadhoo,MV,-0.6,73.0833,82.81,76,100,17.72,overcast clouds
95,Imeni Zhelyabova,RU,58.9544,36.5956,68.0,42,27,11.27,scattered clouds
96,Dawlatabad,AF,36.4141,64.9053,99.77,9,1,9.22,clear sky
